n,t,GrossOutput,Expenditure,IntermediateUse,FinalExpenditure,ValueAdded,Deficit,GrossOutputManuf,ExpenditureManuf,IntermediateUseManuf,FinalExpenditureManuf,ValueAddedManuf,DeficitManuf,α,β
FIN,2003,311602.61440000025,298043.95041082375,154866.25286479061,143177.69754603368,156736.36153520964,13558.663989175955,103573.80319999933,83591.15796914633,59658.52047155054,23932.63749759595,43915.28272844879,-19982.645230853,0.16715338986297965,0.4239999051077529
FIN,2004,362604.31339999876,347302.60052272805,181626.97987035575,165675.62065236995,180977.33352964302,15301.712877273065,121290.20119999978,98768.72423071711,70889.66095966671,27879.063271050847,50400.540240333066,-22521.476969282667,0.16827498917024303,0.41553678484897394
FIN,2005,383159.16210000415,371764.50585028104,195387.0203380257,176377.48551225456,187772.14176197845,11394.656249723892,128566.53810000014,107758.6563826296,77004.42241057257,30754.233972056994,51562.11568942756,-20807.881717370532,0.1743659848803107,0.40105393247286564
FIN,2006,417431.75360000296,404753.0833601264,218491.71864696883,186261.36471315866,198940.03495303413,12678.670239875471,144474.35840000078,118828.86049879785,86745.85910245127,32083.00139634687,57728.49929754951,-25645.497901202936,0.17224721533504542,0.3995760904348076
FIN,2007,492128.7335000005,474984.91679121275,256100.84639550216,218884.070395711,236027.88710449834,17143.816708787344,172639.1439999999,141296.85332683768,103043.59001064899,38253.26331618877,69595.55398935093,-31342.290673162235,0.174764948618839,0.4031273115519558
FIN,2008,556474.2383999971,540601.2800358317,292775.39212559245,247825.88791023634,263698.84627440467,15872.958364168328,193291.06520000086,159617.50890219625,117165.77386532066,42451.735036874714,76125.2913346802,-33673.55629780461,0.171296612290363,0.39383761094136627
FIN,2009,472521.97519999533,462593.9300291337,240352.8251431896,222241.1048859428,232169.15005680572,9928.045170862926,138326.50039999976,117209.74850112852,85844.86001786255,31364.88848326594,52481.64038213721,-21116.75189887124,0.1411300060776913,0.3794040927109098
FIN,2010,471053.0268000046,463651.4653384714,242591.90074979706,221059.5645886779,228461.12605020753,7401.561461529636,140924.5614000004,117988.9607454021,83666.8163631877,34322.144382214516,57257.74503681272,-22935.60065459831,0.1552619740569796,0.40630067937051995
FIN,2011,529475.0399999947,526792.7598936601,277864.4262187111,248928.3336749471,251610.6137812836,2682.2801063365187,161867.3279999998,140641.9517345464,99670.37043920276,40971.581295343414,62196.95756079705,-21225.376265453408,0.164591875462616,0.38424652046395136
FIN,2012,496080.55199999636,494930.8785896623,260842.0582954662,234088.8202941975,235238.49370453015,1149.6734103326453,145960.98880000066,126017.57364389073,89854.85584066028,36162.71780323012,56106.13295934038,-19943.415156109928,0.15448289139900676,0.3843912912663149
FIN,2013,511779.35069999617,509498.17477152334,266579.4885158478,242918.68625567833,245199.86218414834,2281.1759284700092,145279.5309,124903.88003755503,88718.38342376347,36185.49661379184,56561.14747623654,-20375.650862444978,0.14896135481197872,0.3893263361042181
FIN,2014,513657.88249999867,510650.08629570814,265297.46516847867,245352.62112723332,248360.41733152,3007.7962042866857,142566.64899999942,122280.17553705332,86750.16555280397,35530.00998424967,55816.48344719545,-20286.4734629461,0.14481202532507187,0.3915115059427095
FRA,2000,2.414723568400024e6,2.3881559357544812e6,1.1374701653893974e6,1.2506857703650878e6,1.2772534030106266e6,26567.632645538775,596747.1959999963,597954.4743286114,359954.028658385,238000.44567022918,236793.1673416113,1207.2783286151243,0.19029595707381755,0.39680650186350064
FRA,2001,2.45182053239998e6,2.423405479931745e6,1.1619593029050536e6,1.2614461770266984e6,1.2898612294949263e6,28415.05246822792,594948.8711999998,592336.0128419388,356205.0633307661,236130.94951117193,238743.80786923371,-2612.8583580610575,0.1871906656118664,0.40128457994666383
FRA,2002,2.6463013152000145e6,2.6105022661897405e6,1.2403963944951454e6,1.370105871694605e6,1.405904920704869e6,35799.04901026399,611112.9120000008,607307.993597268,362230.24063051253,245077.75296675295,248882.6713694883,-3804.9184027328156,0.17887504756375533,0.4072613529878877
FRA,2003,3.2217899504000116e6,3.1871789862077357e6,1.495588684661086e6,1.691590301546645e6,1.7262012657389257e6,34610.96419228078,717174.012800002,715992.1029330248,425795.14237848175,290196.960554542,291378.87042152026,-1181.9098669772502,0.17155274553726801,0.406287546984468
FRA,2004,3.70635553749998e6,3.678085831011226e6,1.7244941572601213e6,1.9535916737511025e6,1.9818613802398588e6,28269.70648875623,815264.4990000013,820824.7586217127,487307.09361073415,333517.6650109782,327957.4053892672,5560.259621711331,0.17072025310723657,0.4022711718608351
FRA,2005,3.8758517225999637e6,3.8642954398857816e6,1.8235515325719826e6,2.0407439073138083e6,2.052300190027981e6,11556.282714172732,838124.0439000018,851897.8240137411,507973.3656224461,343924.45839129423,330150.6782775557,13773.78011373931,0.16852896493220226,0.3939162474581705
FRA,2006,4.1280072412000005e6,4.124363729039691e6,1.9649680979644223e6,2.1593956310752896e6,2.163039143235578e6,3643.5121602886356,884101.8611999982,898805.3425607559,541489.2237181466,357316.11884260754,342612.6374818516,14703.481360757723,0.16547042779033452,0.3875262031648942
FRA,2007,4.749697994000025e6,4.753921875620286e6,2.263630500192935e6,2.490291375427353e6,2.48606749380709e6,-4223.881620263215,998000.8409999949,1.0322359423355479e6,618648.5837898027,413587.3585457465,379352.25721019215,34235.10133555299,0.16607990640242717,0.38011216185958513
